id;response_id;setor;label
333;SP2-101;SUP2;Equipe-Comunicação
334;SP2-102;SUP2;Gestão/Gerência-Objetivos bem definidos
335;SP2-103;SUP2;Gestão/Gerência-Objetivos bem definidos
336;SP2-104;;NC
337;SP2-105;SUP2;Equipe-Segurança psicológica
338;SP2-106;SUP2;Gestão/Gerência-Planejamento de reuniões
339;SP2-106;SUP2;Equipe-Comunicação
340;SP2-107;SUP2;Gestão/Gerência-Feedback
341;SP2-108;SUP2;Recompensas, benefícios, carreira-Promoções
342;SP2-108;SUP2;Recompensas, benefícios, carreira-Salário
343;SP2-109;SUP2;Processos e sistemas-Hardware
344;SP2-109;SUP2;Processos e sistemas-Processos
345;SP2-109;SUP2;Gestão/Gerência-Autonomia
346;SP2-110;SUP2;Recompensas, benefícios, carreira-Oportunidade de mudança
347;SP2-111;SUP2;Treinamento-Disponibilidade de documentação
348;SP2-111;SUP2;Recompensas, benefícios, carreira-Promoções
349;SP2-112;SUP2;Equipe-Interações sociais
350;SP2-112;SUP2;Ambiente de trabalho-Proximidade da equipe
351;SP2-113;;NC
352;SP2-114;;NC
353;SP2-115;SUP2;Vida profissional/Experiência no trabalho-Equilíbrio entre vida profissional/pessoal
354;SP2-116;SUP2;Recompensas, benefícios, carreira-Promoções
355;SP2-116;SUP2;Recompensas, benefícios, carreira-Justiça
356;SP2-117;SUP2;Ambiente de trabalho-Fragmentação do tempo
357;SP2-117;SUP2;Gestão/Gerência-Prioridades bem definidas
358;SP2-118;SUP2;Gestão/Gerência-Gerência
359;SP2-118;SUP2;Equipe-Colaboração
360;SP2-118;SUP2;Tipo/impacto do trabalho-Complexidade do trabalho
361;SP2-119;SUP2;Equipe-Apoio à inovação
362;SP2-119;SUP2;Equipe-Colaboração
363;SP2-119;SUP2;Tipo/impacto do trabalho-Tempo para aprender a realizar o trabalho
364;SP2-119;SUP2;Treinamento-Treinamento para ferramentas e tecnologias
365;SP2-120;;NC
366;SP2-121;SUP2;Gestão/Gerência-Planejamento de reuniões
367;SP2-121;SUP2;Vida profissional/Experiência no trabalho-Estresse
368;SP2-122;SUP2;Recompensas, benefícios, carreira-Salário
369;SP2-122;SUP2;Processos e sistemas-Hardware
370;SP2-122;SUP2;Ambiente de trabalho-Espaço de trabalho privado
371;SP2-123;SUP2;Ambiente de trabalho-Ambiente físico
372;SP2-124;SUP2;Ambiente de trabalho-Ambiente físico
373;SP2-125;;NC
374;SP2-126;;NC
375;SP2-127;SUP2;Equipe-Coesão da equipe
376;SP2-128;SUP2;Gestão/Gerência-Planejamento de reuniões
377;SP2-128;SUP2;Gestão/Gerência-Feedback
378;SP2-129;SUP2;Processos e sistemas-Processos
379;SP2-130;SUP2;Gestão/Gerência-Apreciação pelo trabalho
380;SP2-131;SUP2;Habilidades e competências individuais-Felicidade do desenvolvedor
381;SP2-131;SUP2;Tipo/impacto do trabalho-Habilidades são bem usadas
382;SP2-132;SUP2;Recompensas, benefícios, carreira-Promoções
383;SP2-133;SUP2;Recompensas, benefícios, carreira-Promoções
384;SP2-134;SUP2;Recompensas, benefícios, carreira-Promoções
385;SP3-1;SUP3;Gestão/Gerência-Planejamento de reuniões
386;SP3-1;SUP3;Equipe-Colaboração
387;SP3-2;SUP3;Gestão/Gerência-Feedback
388;SP3-2;SUP3;Equipe-Segurança psicológica
389;SP3-2;SUP3;Gestão/Gerência-Gerência
390;SP3-3;SUP3;Treinamento-Treinamento para ferramentas e tecnologias
391;SP3-4;SUP3;Equipe-Empatia
392;SP3-5;SUP3;Gestão/Gerência-Feedback
393;SP3-5;SUP3;Equipe-Segurança psicológica
394;SP3-6;SUP3;Projeto-Tamanho médio da equipe
395;SP3-7;SUP3;Gestão/Gerência-Autonomia
396;SP3-8;SUP3;Tipo/impacto do trabalho-Habilidades são bem usadas
397;SP3-9;SUP3;Processos e sistemas-Ferramentas
398;SP3-10;SUP3;Gestão/Gerência-Gerência
399;SP3-11;SUP3;Tipo/impacto do trabalho-Complexidade do trabalho
400;SP3-11;SUP3;Processos e sistemas-Ferramentas
401;SP3-11;SUP3;Projeto-Tamanho médio da equipe
402;SP3-12;SUP3;Projeto-Tamanho médio da equipe
403;SP3-12;SUP3;Gestão/Gerência-Apreciação pelo trabalho
404;SP3-64;SUP3;Gestão/Gerência-Prioridades bem definidas
405;SP3-65;SUP3;Projeto-Tamanho médio da equipe
406;SP3-65;SUP3;Tipo/impacto do trabalho-Complexidade do trabalho
407;SP3-13;SUP3;Projeto-Tamanho médio da equipe
408;SP3-14;SUP3;Projeto-Tamanho médio da equipe
409;SP3-14;SUP3;Vida profissional/Experiência no trabalho-Tempo para completar tarefas
410;SP3-15;SUP3;Projeto-Tamanho médio da equipe
411;SP3-15;SUP3;Equipe-Colegas de trabalho qualificados
412;SP3-16;SUP3;Projeto-Tamanho médio da equipe
413;SP3-16;SUP3;Processos e sistemas-Ferramentas
414;SP3-17;SUP3;Equipe-Segurança psicológica
415;SP3-18;SUP3;Projeto-Tamanho médio da equipe
416;SP3-18;SUP3;Tipo/impacto do trabalho-Complexidade do trabalho
417;SP3-19;SUP3;Projeto-Tamanho médio da equipe
418;SP3-19;SUP3;Tipo/impacto do trabalho-Complexidade do trabalho
419;SP3-20;SUP3;Projeto-Tamanho médio da equipe
420;SP3-20;SUP3;Vida profissional/Experiência no trabalho-Tempo para completar tarefas
421;SP3-21;SUP3;Recompensas, benefícios, carreira-Oportunidade de mudança
422;SP3-22;SUP3;Gestão/Gerência-Autonomia
423;SP3-22;SUP3;Equipe-Comunicação
424;SP3-23;;
425;SP3-23;;
426;SP3-24;SUP3;Gestão/Gerência-Planejamento de reuniões
427;SP3-25;SUP3;Vida profissional/Experiência no trabalho-Tempo para completar tarefas
428;SP3-26;SUP3;Projeto-Tamanho médio da equipe
429;SP3-26;SUP3;Vida profissional/Experiência no trabalho-Tempo para completar tarefas
430;SP3-27;SUP3;Organização-Visão da empresa
431;SP3-27;SUP3;Fatores de processo-Ágil
432;SP3-28;SUP3;Recompensas, benefícios, carreira-Promoções
433;SP3-28;SUP3;Equipe-Colaboração
434;SP3-28;SUP3;Equipe-Colegas de trabalho qualificados
435;SP3-28;SUP3;Vida profissional/Experiência no trabalho-Equilíbrio entre vida profissional/pessoal
436;SP3-29;SUP3;Gestão/Gerência-Feedback
437;SP3-30;SUP3;Recompensas, benefícios, carreira-Oportunidade de mudança
438;SP3-30;SUP3;Equipe-Colaboração
439;SP3-31;SUP3;Equipe-Colaboração
440;SP3-32;SUP3;Recompensas, benefícios, carreira-Benéficios e recompensas
441;SP3-33;SUP3;Gestão/Gerência-Apreciação pelo trabalho
442;SP3-34;SUP3;Gestão/Gerência-Autonomia
443;SP3-35;SUP3;Projeto-Tamanho médio da equipe
444;SP3-35;SUP3;Vida profissional/Experiência no trabalho-Tempo para completar tarefas
445;SP3-36;SUP3;Projeto-Tamanho médio da equipe
446;SP3-36;SUP3;Vida profissional/Experiência no trabalho-Tempo para completar tarefas
447;SP3-37;SUP3;Gestão/Gerência-Apreciação pelo trabalho
448;SP3-38;SUP3;Equipe-Comunicação
449;SP3-39;SUP3;Equipe-Comunicação
450;SP3-40;SUP3;Treinamento-Treinamento para ferramentas e tecnologias
451;SP3-40;SUP3;Gestão/Gerência-Gerência
452;SP3-41;SUP3;Vida profissional/Experiência no trabalho-Tempo para completar tarefas
453;SP3-42;SUP3;Projeto-Tamanho médio da equipe
454;SP3-43;SUP3;Tipo/impacto do trabalho-Complexidade do trabalho
455;SP3-43;SUP3;Projeto-Tamanho médio da equipe
456;SP3-44;SUP3;Gestão/Gerência-Gerência
457;SP3-45;SUP3;Gestão/Gerência-Feedback
458;SP3-45;SUP3;Gestão/Gerência-Apreciação pelo trabalho
459;SP3-46;SUP3;Gestão/Gerência-Objetivos bem definidos
460;SP3-47;SUP3;Projeto-Cronograma
461;SP3-48;SUP3;Tipo/impacto do trabalho-Complexidade do trabalho
462;SP3-48;SUP3;Projeto-Tamanho médio da equipe
463;SP3-49;SUP3;Tipo/impacto do trabalho-Complexidade do trabalho
464;SP3-50;SUP3;Tipo/impacto do trabalho-Complexidade do trabalho
465;SP3-51;SUP3;Vida profissional/Experiência no trabalho-Equilíbrio entre vida profissional/pessoal
466;SP3-52;SUP3;Gestão/Gerência-Autonomia
467;SP3-53;;NC
468;SP3-54;SUP3;Gestão/Gerência-Prioridades bem definidas
469;SP3-55;SUP3;Projeto-Tamanho médio da equipe
470;SP3-55;SUP3;Vida profissional/Experiência no trabalho-Tempo para completar tarefas
471;SP3-56;SUP3;Equipe-Colaboração
472;SP3-56;SUP3;Equipe-Coesão da equipe
473;SP3-57;SUP3;Ambiente de trabalho-Trabalho remoto
474;SP3-58;SUP3;Gestão/Gerência-Objetivos bem definidos
